city,lat,lng,population
Mandla,22.64041,80.51344,1054905
Fazilka,30.37585,74.11693,1043280
Lakhimpur,27.35,94.25,1042137
Sambalpur,21.4,83.88333,1041099
Karvir,16.65569,74.19741,1037713
Sirohi,24.83333,72.75,1036346
Teni,10.01115,77.47772,1034724
Farrukhabad,27.31235,79.45738,1032970
Mahasamund,21.2,82.5,1032754
Howrah,22.57688,88.31857,1027672
Gumla,23.08055,84.53834,1025213
Jhābua,22.89059,74.67181,1025048
Chamrajnagar,11.96,77.09,1020791
Panna,24.5,80.25,1016520
Goālpāra,26.12791,90.60974,1008183
Bāramūla,34.19287,74.3692,1008039
Alluri Sitharama Raju,17.88659,82.21346,1004047
Lakhisarai,25.2,86.2,1000912
Shivaji Nagar,18.53017,73.85263,1000000
Mandi,31.75,77,999777
Shahjahanpur,27.82871,79.82671,999095
Sholapur,17.67152,75.91044,997281
Moga,30.80376,75.14938,995746
Ajitgarh,30.65,76.7,994628
Sambhal,28.61741,78.55132,993393
Chitrakoot,25.20511,81.08962,991730
Bangalore Rural,13.22567,77.57501,990923
Jagitial,18.7938,78.91354,983414
Sandila,27.12434,80.54354,983113
Azamgarh,25.99127,83.19396,978799
Nawabganj,26.92227,81.2093,978098
Kamareddy,18.32567,78.33416,972625
Sanganer,26.80169,75.71978,969696
Rayagada,19.4,83.5,967911
Kurukshetra,30,76.75,964655
Tiruppur,11.11541,77.35456,963173
Guwahati,26.1844,91.7458,962334
Morbi,22.81468,70.82289,960329
Morigaon,26.25213,92.34238,957423
Kārbi Ānglong,26,93.5,956313
Malegaon,20.5901,74.5661,955594
Naini Tāl,29.2,79.41667,954605
Harraiya,26.80105,82.42855,950401
Puducherry,11.91667,79.75,950289
Baksa,26.69804,91.15142,950075
Tambaram,12.8998,80.16162,947060
Handia,25.4341,82.1952,944717
Hubballi,15.34776,75.13378,943788
Tirur,10.91143,75.99862,928672
Darrang,26.51195,92.16843,928500
Parvathipuram Manyam,18.75036,83.54053,925340
Mahendragarh,28.25,76.16667,922088
Mysuru,12.29791,76.63925,920550
Bikaner,28.05889,73.33714,919706
Maunath Bhanjan,25.95863,83.64905,910549
Kunda,25.75595,81.5799,910447
Muktsar,30.28735,74.53489,901896
Sagri,26.23613,83.26809,901483
Pakur,24.57058,87.67075,900422
Gurugram,28.45893,77.0466,894199
Kokrajhar,26.6,90.2,887142
Bhubaneswar M Corp,20.29219,85.82174,885363
Bhubaneswar,20.27241,85.83385,885363
Jhansi,25.35523,78.42523,885160
Unnao,26.473,80.52151,876918
South Tripura,23.1671,91.60953,876001
Mahoba,25.2921,79.87242,875958
Trichūr,10.50864,76.20968,874615
Pratapgarh,24.03,74.78,867848
Tamkuhi Raj,26.7491,84.13826,867550
Rohini,28.74322,77.06778,860000
Phulpur,25.53274,82.03214,859421
Colonelganj,27.10561,81.7063,855636
Miraj,16.8671,74.70146,854581
Jamnagar Rural,22.43781,70.12828,851948
Jashpur,22.78495,83.84573,851669
Kanayannur,9.95011,76.33068,851406
Tiruchirappalli West,10.79609,78.7113,850073
Sindhudurg,16.17,73.7,849651
Ashoknagar,24.58,77.73,845071
Sitapur,27.62343,80.6841,832687
Udalguri,26.73359,92.0921,831668
Rae Bareli,26.24953,81.17395,831147
Neemuch,24.47,74.87,826067
East Khāsi Hills,25.3805,91.78905,825922
Soraon,25.61394,81.79123,823190
Kabeerdham,22.1,81.2,822526
Padrauna,26.92561,83.96562,820801
North Goa,15.62849,73.8903,818008
Wayanad,11.605,76.083,817420
Kapurthala,31.4,75.31,815168
Shimla,31.16667,77.58333,814010
Chas,23.59715,86.1707,813402
Bhayandar,19.30157,72.85107,809378
Rajarhat,22.59288,88.47186,809346
Hatkanangle,16.7455,74.37531,807751
Tapi,21.12,73.4,807022
Mariahu,25.5539,82.57955,800862
Narela,28.85267,77.09288,800000
Dhamtari,20.5,81.8,799781
Punjabi Bagh,28.6633,77.04055,799453
Jamtara,24,86.85,791042
Amrāvati,20.94627,77.76935,788327
Bhavnagar,21.80219,72.23439,787319
Datia,25.75,78.5,786754
Khaga,25.71804,81.10692,786635
Tulsipur,27.52495,82.46056,779179
Mawana,29.04684,77.96467,772441
Nalbari,26.5,91.4,771639
Mahabubabad,17.6004,80.00543,770170
Mansa,29.94,75.43,769751
Barasat I,22.73056,88.51053,769190
Chhibramau,27.07688,79.58912,768748
Shahganj,26.02215,82.61712,761994
Tarabganj,26.94074,82.02806,761822
Shahabad,27.5961,80.02044,761209
Burhanpur,21.31,76.23,757847
Ariyalur,11.15,79.25,754894
Laharpur,27.72189,80.99075,753419
Devbhumi Dwarka,22.20253,69.65498,752484
Biswan,27.54907,81.08225,750529
Panvel,18.96717,73.08962,750236
Bindki,26.04171,80.52222,749645
Tiruppursouth,11.02816,77.44444,744147
Thalassery,11.8343,75.64516,744010
Nanpara,27.87985,81.4483,741258
Girwa,24.44076,73.98384,740170
Bongaigaon,26.4603,90.6464,738804
Atrauli,27.97288,78.40113,737767
Tilhar,28.05626,79.72692,736697
Machhlishahr,25.66888,82.33328,736209
Nilgiris,11.46,76.64,735394
Kandhamal,20.3,84,733110
Rampur,28.80388,79.06126,728151
Latehar,23.75,84.4,726978
Khalilabad,26.79627,82.99191,722332
Najibabad,29.6065,78.28633,721574
Hasanganj,26.78018,80.57721,719998
Baraut,29.15553,77.30641,713106
Jayashankar Bhupalapally,18.43758,79.89203,712257
Chunar,25.06857,82.93583,711445
Guntur East,16.30951,80.45777,706830
Chandpur,29.14024,78.28811,706153
Aonla,28.33653,79.18491,704971
Warangal,18,79.58333,704570
Dindori,22.8,81.1,704524
Silchar,24.82494,92.74645,704465
Ghazipur,25.6016,83.58835,703409
Utraula,27.2411,82.39722,702842
Gola Gokaran Nath,28.08943,80.4687,702701
Hisar,29.1624,75.73255,698087
North Tripura,24.35539,92.17104,693947
Faizabad,26.68033,82.27071,691457
Civil Lines,28.71825,77.2276,688616
Sheopur,25.8,77,687861
Barabani,23.74807,86.99591,687515
Garhwāl,29.96366,78.92853,687271
Vatakara,11.66553,75.70812,687265
Dhemaji,27.6091,94.7942,686133
Preet Vihar,28.61461,77.29398,685600
Rupnagar,31.04,76.52,684627
Nagar,19.05255,74.74686,684044
Musahri,26.12704,85.42072,683073
Faridpur Durgapur,23.59385,87.30967,682441
Kaiserganj,27.28469,81.57365,682167
Nakur,29.85027,77.29891,679489
Bidhuna,26.76862,79.53667,678838
Pathankot,32.33,75.64,676598
Sultanpur,26.31215,81.98217,675180
Baheri,28.74133,79.51258,674598
Powayan,28.1419,80.11547,674392
Bilari,28.64856,78.76883,673812
Dudhi,24.11389,83.01405,670183
Guntur,16.29974,80.45729,670073
Jaisalmer,26.99382,71.00889,669919
Loni,28.77026,77.32987,666197
Kaimganj,27.53188,79.3888,666051
Bilgram,27.15503,80.08796,665752
Jogulamba Gadwal,16.23401,77.80564,664971
Kerakat,25.65,82.93132,663552
Hailakandi,24.5017,92.60069,659296
Koriya,23.42993,82.51779,658917
Sheohar,26.5,85.3,656246
Singur,22.81042,88.27237,656008
Sakti,21.92685,82.96507,653036
Chandausi,28.44726,78.67317,652106
Dataganj,27.91911,79.34245,647328
Amravati,20.93333,77.75,647057
Gaya Town C D Block,24.81748,84.98641,646956
Mankapur,27.03476,82.366,646490
Panipat,29.4112,76.98199,644949
Koyilandi,11.51487,75.74016,644540
Sonarpur,22.44396,88.43305,644231
West Garo Hills,25.56794,90.22447,643291
Bisauli,28.30258,78.93958,642762
Rājauri,33.25,74.25,642415
Pallavaram,12.96678,80.15067,642237
Berhampore,24.05259,88.237,642110
Rajatalab,25.28222,82.81048,642020
South Goa,15.20425,74.16733,640537
Hardwar,29.92358,78.13601,639425
Defence Colony,28.58024,77.25102,637775
Modinagar,28.82503,77.54293,637485
Shamli,29.46544,77.34324,637007
Bisalpur,28.31523,79.83977,636813
Sheikhpura,25.13073,85.78176,636342
Kochi,9.93988,76.26022,633553
Tirurangadi,11.05563,75.94363,631906
Seelam Pur,28.69173,77.25199,631723
Nellore Rural,14.43043,79.82544,629751
Karnal,29.70107,76.98733,628309
Bhilai,21.20919,81.4285,627734
Neyyattinkara,8.38492,77.06534,626307
Thakurpukur Mahestola,22.47736,88.25233,624520
Sakaldiha,25.39782,83.34889,622664
Almora,29.69223,79.49789,622506
Haidergarh,26.68806,81.32525,621474
Tehri-Garhwāl,30.5,78.66667,618931
Faridkot,30.65,74.75,617508
Kathua,32.58333,75.5,616435
Pindra,25.464,82.83913,615836
Kasya,26.70668,83.94705,614143
Raiganj,25.67961,88.1251,613833
Malkangiri,18.25,81.95,613192
Shahid Bhagat Singh Nagar,31.13183,76.13328,612310
Palakkad,10.80593,76.63867,612116
Sikkim,27.75,88.5,610577
Patti,25.9496,82.19452,610548
Lalganj,25.99104,81.66454,610526
Naugarh,27.30009,83.12547,610441
Nuapada,20.6,82.5,610382
Cuttack M Corp P S,20.43442,85.88252,610189
Borivli,19.23496,72.85976,609617
Anand Rural,22.54313,73.00844,609307
Sarangarh Bilaigarh,21.54293,83.12657,607434
Karchhana,25.28628,81.94577,606924
Perinthalmanna,10.99052,76.22807,606396
Hapur,28.74241,77.80672,604979
Salempur,26.26969,83.92419,604483
Tanda,26.51761,82.70373,604096
Jagadhri,30.15535,77.30438,604073
